,Question,Relevancy,Ground Truth Response,Predicted Relevancy,LLM Response V1,LLM Response V2,LLM V1 Rating,LLM V2 Rating,Human V1 Rating,Human V2 Rating
0,What’s the difference between the B.A. and B.S. in CS?,Advising,"The B.S. has additional science and math requirements, including a course on ethics in computing and two lab-based science courses.",Advising,"The B.S. program has more stringent science and math requirements, includes a course on the social and ethical aspects of computing, and mandates two science courses with labs, while the B.A. program has more flexibility in these areas.","The B.A. in Computer Science focuses more on a liberal arts education with fewer technical requirements, while the B.S. emphasizes a stronger technical and mathematical foundation in computer science.",5.0,3.0,5,2
1,Do I need to complete MATH1103 for the B.A. in CS?,Advising,"Yes, MATH1103 (Calculus II for Science Majors) is required unless you have a Calculus BC AP grade above 4.",Advising,"Yes, you need to complete MATH1103 (Calculus II for Science Majors) for the B.A. in CS unless you have a Calculus BC AP grade above 4.","Yes, MATH1103 is a requirement for the B.A. in Computer Science at Boston College.",5.0,3.0,4,2
2,Can I take Calculus II pass/fail if it's required for my major?,Advising,"No, courses that count toward your major cannot be taken pass/fail, including co-requisite courses like Calculus II.",Not Advising,"No, you can't take Calculus II pass/fail if it counts towards your major.","No, you cannot take Calculus II pass/fail if it's required for your major.",5.0,5.0,4,2
3,Is Logic and Computation required before taking Algorithms?,Advising,"Yes, Logic and Computation must be completed before Algorithms.",Advising,"Yes, Logic and Computation is required before taking Algorithms.","Yes, Logic and Computation is a prerequisite for taking Algorithms at Boston College.",5.0,5.0,4,2
4,How can I get my study abroad courses approved for my CS major?,Advising,"All courses abroad must be approved by the Undergraduate Program Director, and you’ll need a signed approval form.",Advising,"To get your study abroad courses approved for your CS major, you must have them signed off by the Undergraduate Program Director, Prof. Maira Samary, and submit the required approval form.",Contact your academic advisor and provide the course syllabi for review and approval based on the program's criteria.,5.0,3.0,4,3
5,Can I double major in CS and Math?,Advising,"Yes, you can double major, and certain Math courses can substitute CS requirements if approved.",Advising,"Yes, you can double major in CS and Math, and you can take Introduction to Abstract Math as a substitute for Logic and Computation, and Probability as a substitute for Randomness and Computation.","Yes, you can double major in Computer Science and Mathematics at Boston College.",5.0,3.0,5,3
6,Does a 5 on the CS AP exam let me skip CS1?,Advising,"Yes, a 5 on the CS AP course counts as CS1 but doesn’t grant equivalent credits.",Advising,A score of 5 on the CS AP exam counts as CS1 but does not grant equivalent credits; departmental approval is required to place out of CS1.,"Yes, a score of 5 on the CS AP exam typically allows you to skip CS1 at Boston College.",5.0,4.0,4,3
7,What is the registration process for CS majors?,Advising,You need to meet with your advisor to discuss your courses and academic progress before you can register.,Advising,"To register, CS majors must discuss their courses with their academic advisor, review their course history, and ask about requirements before their registration advising meeting.","Students should consult the Boston College course catalog and their academic advisor to understand the registration process for CS majors, including prerequisites and scheduling.",5.0,5.0,5,2
8,Do I need pre-approval to study abroad for CS?,Advising,"Yes, pre-approval is required for study abroad courses to count toward the CS major.",Advising,"Yes, all courses abroad must be pre-approved to count toward your major, and the required form needs to be signed by the Undergraduate Program Director.","Yes, you need pre-approval to study abroad for Computer Science at Boston College.",5.0,5.0,4,2
9,How many unique credits are needed for a CS minor?,Advising,A CS minor requires at least 15 unique credits that are not double-counted.,Advising,A CS minor needs at least 15 unique credits.,Not relevant to advising.,5.0,1.0,4,2
